,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
670,NY,36029,36029U,State Senate,State Senate District 29,Jose Serrano,,,29,95,29,Democrat,True
672,NY,36015,36015U,State Senate,State Senate District 15,Joseph Addabbo,,,15,95,15,Democrat,True
673,NY,36044,36044U,State Senate,State Senate District 44,Neil Breslin,,,44,100,44,Democrat,True
674,NY,36063,36063U,State Senate,State Senate District 63,Timothy Kennedy,,,63,95,63,Democrat,True
675,NY,36024,36024U,State Senate,State Senate District 24,Andrew Lanza,,,24,77,24,Republican,True
676,NY,36041,36041U,State Senate,State Senate District 41,Susan Serino,,,41,79,41,Republican,True
679,NY,36046,36046U,State Senate,State Senate District 46,Michelle Hinchey,,,46,9999,46,Democrat,True
682,NY,36016,36016U,State Senate,State Senate District 16,Toby Stavisky,,,16,97,16,Democrat,True
683,WI,55027,55027U,State Senate,State Senate District 27,Jon Erpenbach,,,27,100,27,Democrat,True
684,WI,55017,55017U,State Senate,State Senate District 17,Howard Marklein,,,17,10,17,Republican,True
686,WI,55006,55006U,State Senate,State Senate District 6,LaTonya Johnson,,,06,100,6,Democrat,True
689,WI,55020,55020U,State Senate,State Senate District 20,Duey Stroebel,,,20,10,20,Republican,True
691,WI,55031,55031U,State Senate,State Senate District 31,Jeff Smith,,,31,9999,31,Democrat,True
693,WI,55014,55014U,State Senate,State Senate District 14,Joan Ballweg,,,14,2,14,Republican,True
695,WI,55026,55026U,State Senate,State Senate District 26,Kelda Roys,,,26,9999,26,Democrat,True
697,WI,55021,55021U,State Senate,State Senate District 21,Van Wanggaard,,,21,10,21,Republican,True
699,WI,55007,55007U,State Senate,State Senate District 7,Christopher Larson,,,07,100,7,Democrat,True
701,WI,55009,55009U,State Senate,State Senate District 9,Devin LeMahieu,,,09,10,9,Republican,True
703,WI,55033,55033U,State Senate,State Senate District 33,Chris Kapenga,,,33,9,33,Republican,True
707,WI,55019,55019U,State Senate,State Senate District 19,Roger Roth,,,19,10,19,Republican,True
709,WI,55004,55004U,State Senate,State Senate District 4,Lena Taylor,,,04,100,4,Democrat,True
710,WI,55025,55025U,State Senate,State Senate District 25,Janet Bewley,,,25,91,25,Democrat,True
712,WI,55028,55028U,State Senate,State Senate District 28,Julian Bradley,,,28,9999,28,Republican,True
715,WI,55012,55012U,State Senate,State Senate District 12,Mary Felzkowski,,,12,2,12,Republican,True
718,WI,55001,55001U,State Senate,State Senate District 1,Andre Jacque,,,01,0,1,Republican,True
722,WI,55023,55023U,State Senate,State Senate District 23,Kathleen Bernier,,,23,5,23,Republican,True
725,WI,55013,55013U,State Senate,State Senate District 13,John Jagler,,,13,2,13,Republican,True
727,WI,55002,55002U,State Senate,State Senate District 2,Robert Cowles,,,02,37,2,Republican,True
728,WI,55011,55011U,State Senate,State Senate District 11,Steve Nass,,,11,10,11,Republican,True
730,WI,55032,55032U,State Senate,State Senate District 32,Brad Pfaff,,,32,9999,32,Democrat,True
733,WI,55018,55018U,State Senate,State Senate District 18,Dan Feyen,,,18,21,18,Republican,True
737,WI,55003,55003U,State Senate,State Senate District 3,Timothy Carpenter,,,03,100,3,Democrat,True
738,WI,55029,55029U,State Senate,State Senate District 29,Jerry Petrowski,,,29,10,29,Republican,True
741,WI,55010,55010U,State Senate,State Senate District 10,Rob Stafsholt,,,10,5,10,Republican,True
744,WI,55008,55008U,State Senate,State Senate District 8,Alberta Darling,,,08,10,8,Republican,True
745,WI,55022,55022U,State Senate,State Senate District 22,Robert Wirch,,,22,96,22,Democrat,True
746,WI,55015,55015U,State Senate,State Senate District 15,Janis Ringhand,,,15,96,15,Democrat,True
749,WI,55005,55005U,State Senate,State Senate District 5,Dale Kooyenga,,,05,0,5,Republican,True
752,WI,55030,55030U,State Senate,State Senate District 30,Eric Wimberger,,,30,9999,30,Republican,True
754,WI,55024,55024U,State Senate,State Senate District 24,Patrick Testin,,,24,21,24,Republican,True
756,WI,55016,55016U,State Senate,State Senate District 16,Melissa Sargent,,,16,100,16,Democrat,True
758,FL,12007,12007U,State Senate,State Senate District 7,Travis Hutson,37.0,2016.0,07,0,7,Republican,True
857,MI,26027,26027U,State Senate,State Senate District 27,James Ananich,62.2,2016.0,27,93,27,Democrat,True
859,MI,26034,26034U,State Senate,State Senate District 34,Jon Bumstead,42.2,2016.0,34,37,34,Republican,True
862,MI,26017,26017U,State Senate,State Senate District 17,Dale Zorn,36.3,2016.0,17,42,17,Republican,True
864,MI,26006,26006U,State Senate,State Senate District 6,Erika Geiss,53.2,2016.0,06,97,6,Democrat,True
867,MI,26020,26020U,State Senate,State Senate District 20,Sean McCann,53.3,2016.0,20,100,20,Democrat,True
870,MI,26031,26031U,State Senate,State Senate District 31,Kevin Daley,33.8,2016.0,31,77,31,Republican,True
873,MI,26026,26026U,State Senate,State Senate District 26,Aric Nesbitt,38.6,2016.0,26,55,26,Republican,True
876,MI,26014,26014U,State Senate,State Senate District 14,Ruth Johnson,38.9,2016.0,14,66,14,Republican,True
879,MI,26021,26021U,State Senate,State Senate District 21,Kimberly LaSata,37.5,2016.0,21,56,21,Republican,True
882,MI,26007,26007U,State Senate,State Senate District 7,Dayna Polehanki,48.4,2016.0,07,100,7,Democrat,True
885,MI,26037,26037U,State Senate,State Senate District 37,Wayne Schmidt,36.7,2016.0,37,42,37,Republican,True
888,MI,26009,26009U,State Senate,State Senate District 9,Paul Wojno,53.4,2016.0,09,100,9,Democrat,True
891,MI,26033,26033U,State Senate,State Senate District 33,Ricky Outman,35.4,2016.0,33,59,33,Republican,True
894,MI,26036,26036U,State Senate,State Senate District 36,Jim Stamas,32.7,2016.0,36,39,36,Republican,True
897,MI,26019,26019U,State Senate,State Senate District 19,John Bizon,35.9,2016.0,19,48,19,Republican,True
900,MI,26025,26025U,State Senate,State Senate District 25,Dan Lauwers,29.9,2016.0,25,51,25,Republican,True
902,MI,26004,26004U,State Senate,State Senate District 4,Marshall Bullock,74.6,2016.0,04,100,4,Democrat,True
908,MI,26012,26012U,State Senate,State Senate District 12,Rosemary Bayer,47.4,2016.0,12,100,12,Democrat,True
911,MI,26035,26035U,State Senate,State Senate District 35,Curtis VanderWall,33.5,2016.0,35,56,35,Republican,True
914,MI,26001,26001U,State Senate,State Senate District 1,Stephanie Chang,70.6,2016.0,01,97,1,Democrat,True
917,MI,26038,26038U,State Senate,State Senate District 38,Ed McBroom,38.6,2016.0,38,44,38,Republican,True
920,MI,26023,26023U,State Senate,State Senate District 23,Curtis Hertel,61.9,2016.0,23,84,23,Democrat,True
922,MI,26013,26013U,State Senate,State Senate District 13,Mallory McMorrow,50.4,2016.0,13,100,13,Democrat,True
925,MI,26002,26002U,State Senate,State Senate District 2,Adam Hollier,77.4,2016.0,02,87,2,Democrat,True
928,MI,26011,26011U,State Senate,State Senate District 11,Jeremy Moss,71.5,2016.0,11,100,11,Democrat,True
931,MI,26032,26032U,State Senate,State Senate District 32,Kenneth Horn,44.5,2016.0,32,42,32,Republican,True
933,MI,26018,26018U,State Senate,State Senate District 18,Jeff Irwin,73.2,2016.0,18,85,18,Democrat,True
936,MI,26003,26003U,State Senate,State Senate District 3,Sylvia Santana,80.7,2016.0,03,100,3,Democrat,True
939,MI,26029,26029U,State Senate,State Senate District 29,Winnie Brinks,54.3,2016.0,29,100,29,Democrat,True
942,MI,26010,26010U,State Senate,State Senate District 10,Michael MacDonald,39.9,2016.0,10,77,10,Republican,True
948,MI,26022,26022U,State Senate,State Senate District 22,Lana Theis,38.7,2016.0,22,39,22,Republican,True
951,MI,26015,26015U,State Senate,State Senate District 15,James Runestad,45.7,2016.0,15,41,15,Republican,True
954,MI,26005,26005U,State Senate,State Senate District 5,Betty Jean Alexander,76.1,2016.0,05,100,5,Democrat,True
957,MI,26030,26030U,State Senate,State Senate District 30,Roger Victory,31.7,2016.0,30,56,30,Republican,True
960,MI,26024,26024U,State Senate,State Senate District 24,Tom Barrett,41.3,2016.0,24,36,24,Republican,True
963,MI,26016,26016U,State Senate,State Senate District 16,Michael Shirkey,33.3,2016.0,16,37,16,Republican,True
966,NJ,34027,34027U,State Senate,State Senate District 27,Richard Codey,,,27,95,27,Democrat,True
967,NJ,34034,34034U,State Senate,State Senate District 34,Nia Gill,,,34,96,34,Democrat,True
968,NJ,34017,34017U,State Senate,State Senate District 17,Robert Smith,,,17,97,17,Democrat,True
969,NJ,34006,34006U,State Senate,State Senate District 6,James Beach,,,06,94,6,Democrat,True
970,NJ,34020,34020U,State Senate,State Senate District 20,Joseph Cryan,,,20,95,20,Democrat,True
972,NJ,34031,34031U,State Senate,State Senate District 31,Sandra Cunningham,,,31,95,31,Democrat,True
973,NJ,34014,34014U,State Senate,State Senate District 14,Linda Greenstein,,,14,97,14,Democrat,True
976,NJ,34026,34026U,State Senate,State Senate District 26,Joseph Pennacchio,,,26,37,26,Republican,True
977,NJ,34021,34021U,State Senate,State Senate District 21,Thomas Kean,,,21,65,21,Republican,True
978,NJ,34007,34007U,State Senate,State Senate District 7,Troy Singleton,,,07,96,7,Democrat,True
980,NJ,34037,34037U,State Senate,State Senate District 37,Loretta Weinberg,,,37,95,37,Democrat,True
981,NJ,34040,34040U,State Senate,State Senate District 40,Kristin Corrado,,,40,40,40,Republican,True
983,NJ,34009,34009U,State Senate,State Senate District 9,Christopher Connors,,,09,46,9,Republican,True
984,NJ,34033,34033U,State Senate,State Senate District 33,Brian Stack,,,33,96,33,Democrat,True
985,NJ,34019,34019U,State Senate,State Senate District 19,Joseph Vitale,,,19,96,19,Democrat,True
986,NJ,34036,34036U,State Senate,State Senate District 36,Paul Sarlo,,,36,89,36,Democrat,True
987,NJ,34025,34025U,State Senate,State Senate District 25,Anthony M. Bucco,,,25,31,25,Republican,True
989,NJ,34004,34004U,State Senate,State Senate District 4,Fred Madden,,,04,96,4,Democrat,True
990,NJ,34028,34028U,State Senate,State Senate District 28,Ronald Rice,,,28,93,28,Democrat,True
991,NJ,34012,34012U,State Senate,State Senate District 12,Samuel Thompson,,,12,41,12,Republican,True
992,NJ,34001,34001U,State Senate,State Senate District 1,Michael Testa,,,01,0,1,Republican,True
995,NJ,34035,34035U,State Senate,State Senate District 35,Nellie Pou,,,35,95,35,Democrat,True
997,NJ,34038,34038U,State Senate,State Senate District 38,Joseph Lagana,,,38,96,38,Democrat,True
999,NJ,34013,34013U,State Senate,State Senate District 13,Declan O'Scanlon,,,13,43,13,Republican,True
1001,NJ,34023,34023U,State Senate,State Senate District 23,Michael Doherty,,,23,24,23,Republican,True
1002,NJ,34002,34002U,State Senate,State Senate District 2,Chris Brown,,,02,87,2,Republican,True
1006,NJ,34039,34039U,State Senate,State Senate District 39,Holly Schepisi,,,39,54,39,Republican,True
1007,NJ,34011,34011U,State Senate,State Senate District 11,Vin Gopal,,,11,97,11,Democrat,True
1009,NJ,34032,34032U,State Senate,State Senate District 32,Nicholas Sacco,,,32,95,32,Democrat,True
1010,NJ,34018,34018U,State Senate,State Senate District 18,Patrick Diegnan,,,18,95,18,Democrat,True
1013,NJ,34003,34003U,State Senate,State Senate District 3,Stephen Sweeney,,,03,95,3,Democrat,True
1014,NJ,34029,34029U,State Senate,State Senate District 29,Teresa Ruiz,,,29,96,29,Democrat,True
1015,NJ,34010,34010U,State Senate,State Senate District 10,James Holzapfel,,,10,52,10,Republican,True
1017,NJ,34008,34008U,State Senate,State Senate District 8,Dawn Addiego,,,08,53,8,Democrat,True
1019,NJ,34022,34022U,State Senate,State Senate District 22,Nicholas Scutari,,,22,95,22,Democrat,True
1020,NJ,34015,34015U,State Senate,State Senate District 15,Shirley Turner,,,15,98,15,Democrat,True
1021,NJ,34005,34005U,State Senate,State Senate District 5,Nilsa Cruz-Perez,,,05,93,5,Democrat,True
1023,NJ,34030,34030U,State Senate,State Senate District 30,Robert Singer,,,30,59,30,Republican,True
1024,NJ,34024,34024U,State Senate,State Senate District 24,Steven Oroho,,,24,26,24,Republican,True
1025,NJ,34016,34016U,State Senate,State Senate District 16,"Christopher ""Kip"" Bateman",,,16,94,16,Republican,True
1026,VT,50BEN,50BENU,State Senate,Bennington State Senate District,Richard Sears,,,EN,100,50BENU,Democrat,True
1027,VT,50BEN,50BENU,State Senate,Bennington State Senate District,Richard Sears,,,EN,94,50BENU,Democrat,True
1029,VT,50E-O,50E-OU,State Senate,Essex-Orleans State Senate District,Robert Starr,,,-O,9999,OU,Republican,True
1030,VT,50E-O,50E-OU,State Senate,Essex-Orleans State Senate District,Robert Starr,,,-O,60,OU,Democrat,True
1033,VT,50FRA,50FRAU,State Senate,Franklin State Senate District,Randolph Brock,,,RA,25,50FRAU,Republican,True
1034,VT,50FRA,50FRAU,State Senate,Franklin State Senate District,Randolph Brock,,,RA,47,50FRAU,Republican,True
1040,VT,50WAS,50WASU,State Senate,Washington State Senate District,Ann Cummings,,,AS,100,50WASU,Democrat,True
1041,VT,50WAS,50WASU,State Senate,Washington State Senate District,Ann Cummings,,,AS,100,50WASU,Democrat,True
1042,VT,50WAS,50WASU,State Senate,Washington State Senate District,Ann Cummings,,,AS,100,50WASU,Democrat,True
1046,VT,50ORA,50ORAU,State Senate,Orange State Senate District,Mark MacDonald,,,RA,100,50ORAU,Democrat,True
1047,VT,50CAL,50CALU,State Senate,Caledonia State Senate District,Jane Kitchel,,,AL,89,50CALU,Democrat,True
1048,VT,50CAL,50CALU,State Senate,Caledonia State Senate District,Jane Kitchel,,,AL,42,50CALU,Republican,True
1050,VT,50CGI,50CGIU,State Senate,Grand-Isle-Chittenden State Senate District,Richard Mazza,,,GI,80,50CGIU,Democrat,True
1051,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,100,50CHIU,Democrat,True
1052,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,100,50CHIU,Democrat,True
1053,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,100,50CHIU,Democrat,True
1054,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,100,50CHIU,Unknown,True
1055,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,95,50CHIU,Democrat,True
1056,VT,50CHI,50CHIU,State Senate,Chittenden State Senate District,Kesha Ram,,,HI,9999,50CHIU,Democrat,True
1066,VT,50RUT,50RUTU,State Senate,Rutland State Senate District,Brian Collamore,,,UT,100,50RUTU,Democrat,True
1067,VT,50RUT,50RUTU,State Senate,Rutland State Senate District,Brian Collamore,,,UT,25,50RUTU,Republican,True
1068,VT,50RUT,50RUTU,State Senate,Rutland State Senate District,Brian Collamore,,,UT,9999,50RUTU,Republican,True
1075,VT,50ADD,50ADDU,State Senate,Addison State Senate District,Christopher Bray,,,DD,100,50ADDU,Democrat,True
1076,VT,50ADD,50ADDU,State Senate,Addison State Senate District,Christopher Bray,,,DD,100,50ADDU,Democrat,True
1079,VT,50LAM,50LAMU,State Senate,Lamoille State Senate District,Richard Westman,,,AM,65,50LAMU,Republican,True
1081,IL,17026,17026U,State Senate,State Senate District 26,Dan McConchie,,,26,81,26,Republican,True
1083,IL,17048,17048U,State Senate,State Senate District 48,Doris Turner,,,48,9999,48,Democrat,True
1088,IL,17007,17007U,State Senate,State Senate District 7,Mike Simmons,,,07,9999,7,Democrat,True
1089,IL,17059,17059U,State Senate,State Senate District 59,Dale Fowler,,,59,83,59,Republican,True
1091,IL,17037,17037U,State Senate,State Senate District 37,Win Stoller,,,37,9999,37,Republican,True
1095,IL,17009,17009U,State Senate,State Senate District 9,Laura Fine,,,09,97,9,Democrat,True
1098,IL,17033,17033U,State Senate,State Senate District 33,Donald DeWitte,,,33,92,33,Republican,True
1100,IL,17036,17036U,State Senate,State Senate District 36,Neil Anderson,,,36,82,36,Republican,True
1102,IL,17058,17058U,State Senate,State Senate District 58,Terri Bryant,,,58,76,58,Republican,True
1105,IL,17055,17055U,State Senate,State Senate District 55,Darren Bailey,,,55,35,55,Republican,True
1107,IL,17043,17043U,State Senate,State Senate District 43,John Connor,,,43,88,43,Democrat,True
1110,IL,17040,17040U,State Senate,State Senate District 40,Patrick Joyce,,,40,9999,40,Democrat,True
1112,IL,17019,17019U,State Senate,State Senate District 19,Michael Hastings,,,19,98,19,Democrat,True
1114,IL,17047,17047U,State Senate,State Senate District 47,Jil Tracy,,,47,82,47,Republican,True
1116,IL,17025,17025U,State Senate,State Senate District 25,Karina Villa,,,25,100,25,Democrat,True
1119,IL,17012,17012U,State Senate,State Senate District 12,Steven Landek,,,12,98,12,Democrat,True
1120,IL,17035,17035U,State Senate,State Senate District 35,Dave Syverson,,,35,88,35,Republican,True
1123,IL,17001,17001U,State Senate,State Senate District 1,Antonio Munoz,,,01,98,1,Democrat,True
1124,IL,17045,17045U,State Senate,State Senate District 45,Brian Stewart,,,45,93,45,Republican,True
1126,IL,17023,17023U,State Senate,State Senate District 23,Thomas Cullerton,,,23,96,23,Democrat,True
1128,IL,17013,17013U,State Senate,State Senate District 13,Robert Peters,,,13,100,13,Democrat,True
1130,IL,17008,17008U,State Senate,State Senate District 8,Ram Villivalam,,,08,100,8,Democrat,True
1132,IL,17015,17015U,State Senate,State Senate District 15,Napoleon Harris,,,15,98,15,Democrat,True
1134,IL,17024,17024U,State Senate,State Senate District 24,Suzanne Glowiak,,,24,100,24,Democrat,True
